sinon otherwise
fier proud
époque era
ainé older/elder
taille size
fils/fille_unique only_child
chauve bald
antipathique unfriendly
pull sweater
animé motivated/driven
milieu environment/setting
solidarité solidarity
soit...soit... whether...or...
autant_que as_much_as
en_tant_que as_a
vide(er) (to)empty
pilules/comprimés pills/tablets
de_rien/je_vous_en_prie you're_welcome(casual/formal)
un_pari a_bet
se_coucher go_to_bed
centaine about_a_hundred
se_dépêcher to_hurry
messages texts
prêter lend
casquette cap(hat)
boucles_d'oreilles earrings
collier necklace
souligner point_out
paquet package
cru raw(food)
congélateur freezer
thon tuna
miel honey
tiroir drawer
fait_maison homemade
peau skin
ail garlic
ça_ne_va_pas? are_you_okay?
autant that_much("not_that_much!")
casserole pan
huile oil
confiture jam
pot jar
sable sand
avoir_du_mal having_trouble
trier sort
odeur scent
lardon bacon
maïs corn
en_direct live(on_tv)
chic stylish
merveilleuse(eux) wonderful
gênant embarrassing
invité guest
doué talented
trottoir sidewalk
d'abonnés subscribers
gestion management
paisible peaceful
entourer surround
feux_d'artifice firework
église church
sympa nice(casual_remark_like_"that's_nice")
exigence requirement
novatrice innovative
papillon butterfly
colocataire roommate
poivre pepper
débutant beginner
éteindre to_turn_off_(ex:_computer)
rigoler laugh
raconter tell_(whereas_dire_is_say)
amener bring_(a_moving_thing._Apporter_is_for_inanimate_things)
chèvre goat_(animal)
comportement behavior
localiser locate
les_gars guys
rejoindre join
fournir provide
aidant helpful
continu continuous
pertinent relevant
enjeu issue/problem
itinérance homelessness
sans-abri homeless
au_courant aware_(informed)
antérieure/précédent previous
régime plan_(like_a_benefit_plan)
gratifiant rewarding
invalidité disability
assurance_maladie health_insurance
bulle bubble
bouger move(slightly)
tormenter torment
dissuader dissuade
embouteillages traffic_congestion
revenir return_(back_to_the_same_place)
retourner return_(NOT_back_to_the_same_place_but_returning_home_or_something)
tartine a_slice_of_bread
au_lieu_de instead_of
maire mayor
quelques-unes some
faire_nuit_blanche pulling_an_all-nigher
climatisation air_conditioning
à_côté_de next_to
déplacer move(to_change_location)
ça_fait it's_been
siège seat
prévoir to_plan
trottinette scooter
tirer pull
bâtiment building
épinards spinach
boîte_de_conserve can(like_food)
facture invoice/bill
de from
fête party(like_throw_a_party)
avoir_la_forme be_in_good_shape
quoi_de_neuf what's_up
bête dumb
coussin cushion
ben well_(filler_word)
vas_y go_ahead
four oven
Ça_m'est_égal I_don't_care
chiffre digit
déverrouiller unlock
rhume cold
recommencer start_again/restart_(not_repeat)
moche ugly_(or_bad,_lame)
appartenir belong
emmener to_take_(someone)_somewhere
pote friend/buddy(slang)
habillé dressed(badly_dressed,_well_dressed)
gilet vest
des_courses shopping/groceries
sol/plancher floor
matelas mattress
foncé dark(color,_not_as_in_brightness)
pile battery
lessive laundry
annonce ad
engrais fertilizer
tromper cheated
ronfler snore
chauffage heat
largeur width
devoir to_owe
longueur length
mode_d'emploi instruction_manual
en some_(give_him_some/donne_lui_en)
roue wheel
