sinon otherwise  
fier proud  
époque_(f) era  
ainé older/elder  
taille_(f) size  
fils_unique_(m)/fille_unique_(f) only_child  
chauve bald  
antipathique unfriendly  
pull_(m) sweater  
animé motivated/driven  
milieu_(m) environment/setting  
solidarité_(f) solidarity  
soit...soit... whether...or...  
autant_que as_much_as  
en_tant_que as_a  
vider (to)empty  
pilules_(f)/comprimés_(m) pills/tablets  
de_rien/je_vous_en_prie you're_welcome (casual/formal)  
un_pari_(m) a_bet  
se_coucher go_to_bed  
centaine_(f) about_a_hundred  
se_dépêcher to_hurry  
messages_(m) texts  
prêter lend  
casquette_(f) cap(hat)  
boucles_d'oreilles_(f) earrings  
collier_(m) necklace  
souligner point_out  
paquet_(m) package  
cru raw(food)  
congélateur_(m) freezer  
thon_(m) tuna  
miel_(m) honey  
tiroir_(m) drawer  
fait_maison homemade  
peau_(f) skin  
ail_(m) garlic  
ça_ne_va_pas? are_you_okay?  
autant that_much  
casserole_(f) pan  
huile_(f) oil  
confiture_(f) jam  
pot_(m) jar  
sable_(m) sand  
avoir_du_mal having_trouble  
trier sort  
odeur_(f) scent/smell  
lardon_(m) bacon  
maïs_(m) corn  
en_direct live(on_tv)  
chic stylish  
merveilleuse(eux) wonderful  
gênant embarrassing  
invité_(m)/invitée_(f) guest  
doué talented  
trottoir_(m) sidewalk  
d'abonnés_(m) subscribers  
gestion_(f) management  
paisible peaceful  
entourer surround  
feux_d'artifice_(m) fireworks  
église_(f) church  
sympa nice  
exigence_(f) requirement  
novatrice innovative  
papillon_(m) butterfly  
colocataire_(m/f) roommate  
poivre_(m) pepper  
débutant_(m) beginner  
éteindre to_turn_off  
rigoler laugh  
raconter tell  
amener bring  
chèvre_(f) goat  
comportement_(m) behavior  
localiser locate  
les_gars_(m) guys  
rejoindre join  
fournir provide  
aidant helpful  
continu continuous  
pertinent/pertinence_(f) relevant/relevance  
enjeu_(m) issue/problem  
itinérance_(f) homelessness  
sans-abri_(m/f) homeless  
au_courant aware  
antérieure_(f)/précédent_(m) previous  
régime_(m) plan/diet  
gratifiant rewarding  
invalidité_(f) disability  
assurance_maladie_(f) health_insurance  
bulle_(f) bubble  
bouger move  
tormenter torment  
dissuader dissuade  
embouteillages_(m) traffic_congestion  
revenir return_(same_place)  
retourner return_(another_place)  
tartine_(f) a_slice_of_bread  
au_lieu_de instead_of  
maire_(m/f) mayor  
quelques-unes_(f) some  
faire_nuit_blanche pulling_an_all-nighter  
climatisation_(f) air_conditioning  
à_côté_de next_to  
déplacer move  
ça_fait it's_been  
siège_(m) seat  
prévoir to_plan  
trottinette_(f) scooter  
tirer pull  
bâtiment_(m) building  
épinards_(m) spinach  
boîte_de_conserve_(f) can  
facture_(f) invoice/bill  
de from  
fête_(f) party  
avoir_la_forme be_in_good_shape  
quoi_de_neuf what's_up  
bête dumb  
coussin_(m) cushion  
ben well  
vas_y go_ahead  
four_(m) oven  
Ça_m'est_égal I_don't_care  
chiffre_(m) digit  
déverrouiller unlock  
rhume_(m) cold  
recommencer start_again  
moche ugly  
appartenir belong  
emmener to_take_(someone)  
pote_(m/f) friend/buddy  
habillé dressed  
gilet_(m) vest  
des_courses_(f) groceries  
sol_(m)/plancher_(m) floor  
matelas_(m) mattress  
foncé dark  
pile_(f) battery  
lessive_(f) laundry  
annonce_(f) ad  
engrais_(m) fertilizer  
tromper cheated  
ronfler snore  
chauffage_(m) heat  
largeur_(f) width  
devoir to_owe  
longueur_(f) length  
mode_d'emploi_(m) instruction_manual  
en some  
roue_(f) wheel  
je_lui_dois I_owe_him/her  
vouvoyer to_use_"vous"_with  
tutoyer to_use_"tu"_with  
compétence_(f) skill  
balai_(m) broom  
mettre put/set  
plutôt rather  
disons_que... let's_say...  
il_faut one_must  
laverie_(f) laundry_shop  
boulot_(m) work  
cher expensive/dear  
poulpe_(m) octopus  
parier bet  
renvoi_(m) fired  
démissionner resign  
Ça_ne_fait_rien it_doesn't_matter  
Il_n’y_a_pas_que_[X]_dans_[Y] There's_more_to_[X]_than_[Y]  
toujours always/still_(still_as_in_continues_to_happen)
ainsi_que as_well_as  
tache_(f) stain  
carrière_(f) career  
enlever remove  
mentir to_lie  
mensonge lie_(noun)
à_moins_que unless  
bougie_(f) candle  
souffler blow  
plaisanter to_joke  
sans_arrêt nonstop  
candidature_(f) application_(job)  
application_(f) app/software  
poste_(m) position_(job)  
postuler apply  
fourmi_(f) ant  
tempête_(f) storm  
jumelle_(f) twin  
retirer remove/withdraw  
piqûre_(f) injection  
emprunter borrow  
armée_(f) army  
troupe_(f) troop  
au_moins at_least  
vol_(m) flight  
navré sorry  
espèce_(f) species  
animal_de_compagnie_(m) pet  
fidèle loyal  
contrairement unlike  
élargir expand  
montant_(m) amount  
en replaces "du pain"  
souviens remember  
j'en_ai I_have_some  
au_fil_du_temps over_time  
chargé busy  
s'occupe_de takes_care_of  
maître_(m)/expert_(m) master  
non_plus neither  
soulever lift  
brique_(f) brick  
terre_(f) dirt  
poussière_(f) dust  
ingénieur_(m/f) engineer  
ingénierie_(f) engineering  
canard_(m) duck  
bouteille_(f) bottle  
camion_(m) truck  
toit_(m) roof  
rideau_(m) curtain  
doux/douce soft/sweet/gentle  
bienveillance_(f) kindness  
indispensable essential  
cohérent consistent  
accabler_(v)/accablant overwhelming (emotional)  
écrasant overwhelming (quantitative)  
atrocité_(f) atrocity  
décevant underwhelming  
moutarde_(f) mustard  
nid_(m) nest  
suggérer suggest  
biscuit_(m) cookie  
citrouille_(f) pumpkin  
à_partir_de as_of  
du_premier_coup first_try  
épreuve_(f) trial  
vis_(f) screw  
actuel current  
sauvage wild  
surtout especially  
agréable pleasant  
quand_même still_(unlike_toujours,_it_means_moreso_"anyways":_"You're_late,_but_can_still_come_on_time")
diviser to_split  
rapport_(m) report/relationship  
se_rendre_compte to_realize  
ailleurs elsewhere  
connaître know/experience  
se_sentir to_feel  
faire_confiance to_trust  
confiant confident  
confiance_(f) trust  
rappeler remind  
rappel_(m) reminder  
empêcher to_prevent  
ceux those  
uniquement only  
polyvalent versatile  
celui-ci this_one  
plonger dive  
rencontrer to_meet  
harcèlement_(m) harassment  
harceler to_harass  
immeuble_(m) apartment_building  
remarquer to_notice  
meuble_(m) furniture  
tapis_(m) carpet  
rassurer to_reassure  
cesser to_cease  
tenue_(f) outfit  
coudre to_sew  
un_bout_de_(m) a_piece_of  
endommager to_damage (formal)  
abîmer to_damage/ruin (informal)  
en_avoir_marre to_be_fed_up
laine_(f) wool
en_vigueur in_effect_(has_come_in_effect:_est_entrée_en_vigueur)
données data
relayer relay
étant being_(like:_being_sick,_being_ambitious,_being_smart)
garantir guarantee
anéantir to_annihilate 
concitoyens fellow_citizens_(citizens_living_in_same_community)
conduite driving_(driving_as_a_noun_("I_like_driving")._Not_conduire/to_drive)/conduct,_behavior_(bonne_conduite:_well_behaved)
dedans inside/in_there_(interieur_is_inside_something:_the_key's_inside_the_house._Dedans_is_just_"in_there":_the_key's_inside)
mener to_lead_(physically_or_figuratively:_lead_a_project)
étouffer suffocate
en_effet indeed/in_fact_(unlike_effectivement,_it's_to_confirm_something_or_to_introduce_an_explanation)
l'intégralité the_entirety
là-dessus about_that/on_that(topic)
assez enough/quite
formation training
citer to_quote,_to_cite
choc_(m) shock_(emotional),_clash_(ex:_a_clash_of_different_worlds),_impact,_trauma,_crash
éclairage lighting,_illumination,_to_clear_up/explain
aboutir_(à) to_lead_(to),_to_result_in
otage hostage
tant_que as_long_as/while
rebours against_(the_expected_direction,_norm:_"an_idea_against/rebours_tradition,_whereas_contre_is_against_like_direct_opposition:_"I_am_against/contre_this_idea")
reconnaître recognize
recognition_(f) recognition
réclamer to_demand,_to_claim
bande gang,_group_of_gangs_(or_just_"gang"_in_French)
décontracté casual_(clothing,_attitude,_body)
groupe band_(like_music_band)
ni...ni... neither...nor...
date_limite_(standard)/échéance_(formal) deadline
implacable relentless
alentours surroundings/vicinity
grondement rumble/roaring_sound
lointain distant/faraway
gamin kid_(whereas_enfant_is_child)
basculer toggle
acier steel
décoller to_take_off_(planes,_career,_etc)
éplucher to_peel_(mainly_fruits/vegetables)
urine_(f) urine
dommage too_bad/what_a_shame
prouver prove
preuf proof
charger load_(a_software)
bruyant(e) loud
calme quiet
gomme_(f) eraser
couler sink_(in_water)
vague wave_(ocean)
brancher to_plug_in/connect_(cable,_charger)
wet mouillé(e)
dry sèche(f)/sec(m)
conseil advice,_board_(of_administration)
davantage more_(formal,_unlike_plus)
reunion/rencontre/rendez-vous meeting
tenir hold_(things,_events)
approbation approval
entre_temps/pendant_ce_temps in_the_meantime/meanwhile
lieu place
chaleureux/chaleureuse warm/friendly/heartfelt
éhonté(e) shameless
honte shame
force strength
battre fight/beat
tabasser beat_up
